Year,Make,Model,Vehicle Class,Engine Size (L),Cylinders,Transmission,Fuel Type,Fuel Consumption [City (L/100 km)],Fuel Consumption [Hwy (L/100 km)],Fuel Consumption [Comb (L/100 km)],Fuel Consumption [Comb (mpg)],CO2 Emissions (g/km),Motor (kW),Fuel Type 1,Fuel Consumption Combined Le/100 km,Range 1 (km),Recharge Time (h),Fuel Type 2,Range 2 (km),Fuel Consumption [City (kWh/100 km)],Fuel Consumption [Comb (kWh/100 km)],Consumption [City (Le/100 km)],Consumption [Hwy (Le/100 km)],Consumption [Comb (Le/100 km)],Range (km)
2022.0,Acura,ILX,Compact,2.4,4.0,AM8,Z,9.9,7.0,8.6,33.0,200.0,,,,,,,,,,,,,
2022.0,Acura,MDX SH-AWD,SUV: Small,3.5,6.0,AS10,Z,12.6,9.4,11.2,25.0,263.0,,,,,,,,,,,,,
2022.0,Acura,MDX Type S,SUV: Standard,3.0,6.0,AS10,Z,13.8,11.2,12.4,23.0,291.0,,,,,,,,,,,,,
2022.0,Acura,NSX,Two-seater,3.5,6.0,AM9,Z,11.1,10.8,11.0,26.0,256.0,,,,,,,,,,,,,
2022.0,Acura,RDX SH-AWD,SUV: Small,2.0,4.0,AS10,Z,11.0,8.6,9.9,29.0,232.0,,,,,,,,,,,,,
2022.0,Acura,RDX SH-AWD A-SPEC,SUV: Small,2.0,4.0,AS10,Z,11.3,9.1,10.3,27.0,242.0,,,,,,,,,,,,,
2022.0,Acura,TLX SH-AWD,Compact,2.0,4.0,AS10,Z,11.2,8.0,9.8,29.0,230.0,,,,,,,,,,,,,
2022.0,Acura,TLX SH-AWD A-SPEC,Compact,2.0,4.0,AS10,Z,11.3,8.1,9.8,29.0,231.0,,,,,,,,,,,,,
2022.0,Acura,TLX Type S,Compact,3.0,6.0,AS10,Z,12.3,9.4,11.0,26.0,256.0,,,,,,,,,,,,,
2022.0,Acura,TLX Type S (Performance Tire),Compact,3.0,6.0,AS10,Z,12.3,9.8,11.2,25.0,261.0,,,,,,,,,,,,,
2022.0,Alfa Romeo,Giulia,Mid-size,2.0,4.0,A8,Z,10.0,7.2,8.7,32.0,205.0,,,,,,,,,,,,,
2022.0,Alfa Romeo,Giulia AWD,Mid-size,2.0,4.0,A8,Z,10.5,7.7,9.2,31.0,217.0,,,,,,,,,,,,,
2022.0,Alfa Romeo,Giulia Quadrifoglio,Mid-size,2.9,6.0,A8,Z,13.5,9.3,11.6,24.0,271.0,,,,,,,,,,,,,
2022.0,Alfa Romeo,Stelvio,SUV: Small,2.0,4.0,A8,Z,10.3,8.1,9.3,30.0,218.0,,,,,,,,,,,,,
2022.0,Alfa Romeo,Stelvio AWD,SUV: Small,2.0,4.0,A8,Z,10.8,8.3,9.6,29.0,226.0,,,,,,,,,,,,,
2022.0,Alfa Romoe,Stelvio? AWD Quadri!fogli>o,SUV: Small,2.9,6.0,A8,Z,13.9,10.3,12.3,23.0,288.0,,,,,,,,,,,,,
2022.0,Aston Martin,DB11 V8,Minicompact,4.0,8.0,A8,Z,13.0,9.8,11.5,25.0,271.0,,,,,,,,,,,,,
2022.0,Aston Martin,DB11 V12,Minicompact,5.2,12.0,A8,Z,16.4,10.7,13.8,20.0,324.0,,,,,,,,,,,,,
2022.0,Aston Martin,DBS V12,Minicompact,5.2,12.0,A8,Z,16.4,10.7,13.8,20.0,324.0,,,,,,,,,,,,,
2022.0,Aston Martin,DBX V8,SUV: Standard,4.0,8.0,A9,Z,16.8,11.9,14.6,19.0,343.0,,,,,,,,,,,,,
2022.0,Aston Martin,Vantage V8,Two-seater,4.0,8.0,A8,Z,13.1,9.6,11.5,25.0,270.0,,,,,,,,,,,,,
2022.0,Audi,A3 Sedan 40 TFSI quattro,Subcompact,2.0,4.0,AM7,X,8.5,6.6,7.6,37.0,178.0,,,,,,,,,,,,,
2022.0,Audi,A4 Sedan 40 TFSI quattro,Compact,2.0,4.0,AM7,Z,9.1,7.0,8.2,34.0,190.0,,,,,,,,,,,,,
2022.0,Audi,A4 Sedan 45 TFSI quattro,Compact,2.0,4.0,AM7,Z,9.8,7.6,8.8,32.0,205.0,,,,,,,,,,,,,
